event_timestamp,type,peer,details_totalPeers,details_avgScore,details_bannedPeers,details_disconnectedPeers,details_healthyPeers,details_bannedPercent,details_disconnectedPercent,details_needMorePeers,details_willDisconnect,details_disconnectReasons,details_attnetQueries,details_syncnetQueries,details_custodyQueries,details_isStarved,details_starvedSlots,details_headSlotGap,details_currentSlot,details_peerHeadSlot,details_peersToConnect,details_custodyGroups,details_subnetRequests,details_cachedENRs,details_timestamp,details_attnetsCount,details_syncnetsCount,details_ourPeersToConnect,details_status,details_error,details_durationMs,details_client,details_direction,details_address,details_connectionStatus,details_method,details_methodName,details_versions,details_sizeBytes,details_requestPreview,details_agentVersion,details_protocols,details_errorCode,details_errorMessage,details_latencyMs,details_success,details_reason,details_disconnectReason,details_scoreState,details_seqNumber,details_isResponseToOurPing,details_forkDigest,details_headSlot,details_finalizedEpoch,details_version,details_encoding,details_peerId,details_fork,details_seenAt,details_aggregatorIndex,details_slot,details_attestationCount,details_subnet,details_proposerIndex,details_blockRoot,details_peer,details_responseType,details_responseData,details_enrsFound,details_queryDurationMs,details_reasonCode,details_reasonText,details_peerFinalizedEpoch,details_metrics,details_validators,details_addedSubnets,details_removedSubnets,details_totalBefore,details_totalAfter,details_isValidator,details_note,timestamp_dt,peer_linked
2026-01-07T20:03:05.951Z,PEER_GOODBYE_RECEIVED,16Uiu2HAmR74oJYLFE5fbSp38mA3wmBo4MzTvQ7fbPxn7Shb86T3W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lighthouse,inbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,Client has too many peers,,,,,,,,,,2026-01-07 20:03:05.951000+00:00,
2026-01-07T20:03:29.372Z,PEER_GOODBYE_RECEIVED,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,inbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,Client has too many peers,,,,,,,,,,2026-01-07 20:03:29.372000+00:00,
2026-01-07T20:03:47.695Z,PEER_GOODBYE_RECEIVED,16Uiu2HAmKJzuPRRKhQbK27Gxo7xPAFKQ6egLL8YimW4RYj86diVp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lodestar,inbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,Peer banned this node,,,,,,,,,,2026-01-07 20:03:47.695000+00:00,
2026-01-07T20:03:53.899Z,PEER_GOODBYE_RECEIVED,16Uiu2HAmD3hCySGXKiSEfQB6ebs1GEZoPdWi33oGWjCc9Vzh8Xfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lighthouse,inbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,Client has too many peers,,,,,,,,,,2026-01-07 20:03:53.899000+00:00,
2026-01-07T20:04:17.682Z,PEER_GOODBYE_RECEIVED,16Uiu2HAmKJzuPRRKhQbK27Gxo7xPAFKQ6egLL8YimW4RYj86diVp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lodestar,inbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,Peer banned this node,,,,,,,,,,2026-01-07 20:04:17.682000+00:00,
2026-01-07T20:04:23.322Z,PEER_GOODBYE_RECEIVED,16Uiu2HAkxocuT6N3UrrGTC7Bze2sgKaruL9nTdAyjgjXdfk841yt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lighthouse,inbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,Client has too many peers,,,,,,,,,,2026-01-07 20:04:23.322000+00:00,
2026-01-07T20:04:23.883Z,PEER_GOODBYE_RECEIVED,16Uiu2HAmD3hCySGXKiSEfQB6ebs1GEZoPdWi33oGWjCc9Vzh8Xfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lighthouse,inbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,Client has too many peers,,,,,,,,,,2026-01-07 20:04:23.883000+00:00,
2026-01-07T20:04:47.664Z,PEER_GOODBYE_RECEIVED,16Uiu2HAmKJzuPRRKhQbK27Gxo7xPAFKQ6egLL8YimW4RYj86diVp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lodestar,inbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,Peer banned this node,,,,,,,,,,2026-01-07 20:04:47.664000+00:00,
2026-01-07T20:04:59.468Z,PEER_GOODBYE_RECEIVED,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lighthouse,inbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,Client has too many peers,,,,,,,,,,2026-01-07 20:04:59.468000+00:00,
2026-01-07T20:05:05.891Z,PEER_GOODBYE_RECEIVED,16Uiu2HAmR74oJYLFE5fbSp38mA3wmBo4MzTvQ7fbPxn7Shb86T3W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,inbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,Client has too many peers,,,,,,,,,,2026-01-07 20:05:05.891000+00:00,
2026-01-07T20:05:35.889Z,PEER_GOODBYE_RECEIVED,16Uiu2HAmR74oJYLFE5fbSp38mA3wmBo4MzTvQ7fbPxn7Shb86T3W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,inbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,Client has too many peers,,,,,,,,,,2026-01-07 20:05:35.889000+00:00,
2026-01-07T20:05:59.323Z,PEER_GOODBYE_RECEIVED,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lighthouse,inbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,Client has too many peers,,,,,,,,,,2026-01-07 20:05:59.323000+00:00,
2026-01-07T20:06:11.403Z,PEER_GOODBYE_RECEIVED,16Uiu2HAmJdKhnbZCyEzHdGyuvGqEfH2531NVwCYmKoFCSpa9tsJM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lighthouse,inbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,Client has too many peers,,,,,,,,,,2026-01-07 20:06:11.403000+00:00,
2026-01-07T20:06:27.816Z,PEER_GOODBYE_RECEIVED,16Uiu2HAmE3bdsstPb3u8hCLaQq1CGYgNLr65FsbGQutVZTmYGzLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prysm,inbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Internal fault/error,,,,,,,,,,2026-01-07 20:06:27.816000+00:00,
2026-01-07T20:06:35.005Z,PEER_GOODBYE_RECEIVED,16Uiu2HAmEE7fgPqEkSuk85fRip7jtCkYrmnjdxJnq3gb3oGx5Q1y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lighthouse,inbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,Client has too many peers,,,,,,,,,,2026-01-07 20:06:35.005000+00:00,
2026-01-07T20:06:53.942Z,PEER_GOODBYE_RECEIVED,16Uiu2HAmD1T5b1AKyzNGB2xk2g2y6gTQxLWQZAAyt1maBEmPLtt6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prysm,inbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,Client has too many peers,,,,,,,,,,2026-01-07 20:06:53.942000+00:00,
2026-01-07T20:07:56.853Z,PEER_GOODBYE_RECEIVED,16Uiu2HAmHC67yLMggoGaAFyhm92jraDHTuoGGa3ZgM5dUoooFqc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teku,inbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,Client has too many peers,,,,,,,,,,2026-01-07 20:07:56.853000+00:00,
