event_timestamp,type,peer,details_totalPeers,details_avgScore,details_bannedPeers,details_disconnectedPeers,details_healthyPeers,details_bannedPercent,details_disconnectedPercent,details_needMorePeers,details_willDisconnect,details_disconnectReasons,details_attnetQueries,details_syncnetQueries,details_custodyQueries,details_isStarved,details_starvedSlots,details_headSlotGap,details_currentSlot,details_peerHeadSlot,details_peersToConnect,details_custodyGroups
2026-01-07T20:01:56.066Z,HEARTBEAT_SCORING,unknown,0.0,0,0.0,0.0,0.0,0%,0%,,,,,,,,,,,,,
2026-01-07T20:01:56.067Z,HEARTBEAT_DISCOVERY_NEEDED,unknown,,,,,,,,210.0,0.0,none,2.0,0.0,128.0,YES,81.0,81.0,9340209.0,9340128.0,,
2026-01-07T20:01:56.067Z,DISCOVERY_START,discovery,,,,,,,,,,,,,,,,,,,210.0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127"
2026-01-07T20:01:57.063Z,DISCOVERY_FINDNODE_START,unknown,,,,,,,,,,,,,,,,,,,210.0,
2026-01-07T20:01:57.676Z,DIAL_CHECK_START,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:57.676Z,DIAL_ATTEMPT_START,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,210.0,
2026-01-07T20:01:57.677Z,DISCOVERY_DIAL_DECISION,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:57.679Z,DIAL_CHECK_START,16Uiu2HAm7fwgR241pfu6ZJrffR5rcmG33TyMRQzG7jYeSj36J3du,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:57.679Z,DIAL_ATTEMPT_START,16Uiu2HAm7fwgR241pfu6ZJrffR5rcmG33TyMRQzG7jYeSj36J3du,,,,,,,,,,,,,,,,,,,209.0,
2026-01-07T20:01:57.679Z,DISCOVERY_DIAL_DECISION,16Uiu2HAm7fwgR241pfu6ZJrffR5rcmG33TyMRQzG7jYeSj36J3du,,,,,,,,,,,,,,,,,,,,
